"name","stayed","club","season","points","games","ef","minutes","plusminus","ppg","mpg","efpg","morethan15mpg","morethan5ppg"
"AVDALOVIC V",0,"ALBA BERLIN","2012/13",64,9,93,221,102,7.11,24.56,10.33,"More than 15 minutes/game","More than 5 points/game"
"BYARS D",0,"ALBA BERLIN","2012/13",89,11,81,260,-24,8.09,23.64,7.36,"More than 15 minutes/game","More than 5 points/game"
"DJEDOVIC N",0,"ALBA BERLIN","2012/13",305,29,302,694,110,10.52,23.93,10.41,"More than 15 minutes/game","More than 5 points/game"
"FOSTER J",0,"ALBA BERLIN","2012/13",163,21,143,561,-81,7.76,26.71,6.81,"More than 15 minutes/game","More than 5 points/game"
"FüLLE S",1,"ALBA BERLIN","2012/13",14,11,13,55,0,1.27,5,1.18,"Less than 15 minutes/game","Less than 5 points/game"
"HERWIG D",1,"ALBA BERLIN","2012/13",0,3,1,7,4,0,2.33,0.33,"Less than 15 minutes/game","Less than 5 points/game"
"IDBIHI Y",1,"ALBA BERLIN","2012/13",299,33,347,702,113,9.06,21.27,10.52,"More than 15 minutes/game","More than 5 points/game"
"MIRALLES A",0,"ALBA BERLIN","2012/13",122,24,143,415,54,5.08,17.29,5.96,"More than 15 minutes/game","More than 5 points/game"
"MONSE S",0,"ALBA BERLIN","2012/13",2,3,2,5,-1,0.67,1.67,0.67,"Less than 15 minutes/game","Less than 5 points/game"
"MORLEY Z",0,"ALBA BERLIN","2012/13",264,32,400,795,120,8.25,24.84,12.5,"More than 15 minutes/game","More than 5 points/game"
"NEY J",1,"ALBA BERLIN","2012/13",5,6,8,14,16,0.83,2.33,1.33,"Less than 15 minutes/game","Less than 5 points/game"
"SCHAFFARTZIK H",1,"ALBA BERLIN","2012/13",317,33,303,854,52,9.61,25.88,9.18,"More than 15 minutes/game","More than 5 points/game"
"SCHULTZE S",1,"ALBA BERLIN","2012/13",88,32,79,260,40,2.75,8.12,2.47,"Less than 15 minutes/game","Less than 5 points/game"
"THOMPSON D",0,"ALBA BERLIN","2012/13",464,34,489,917,32,13.65,26.97,14.38,"More than 15 minutes/game","More than 5 points/game"
"TRAORé A",0,"ALBA BERLIN","2012/13",104,10,108,200,-33,10.4,20,10.8,"More than 15 minutes/game","More than 5 points/game"
"WOOD D",1,"ALBA BERLIN","2012/13",389,33,376,933,151,11.79,28.27,11.39,"More than 15 minutes/game","More than 5 points/game"
"BUCKMAN B",0,"Artland Dragons","2012/13",132,15,198,350,56,8.8,23.33,13.2,"More than 15 minutes/game","More than 5 points/game"
"GOMES R",0,"Artland Dragons","2012/13",102,8,102,224,-25,12.75,28,12.75,"More than 15 minutes/game","More than 5 points/game"
"GRüNHEID G",1,"Artland Dragons","2012/13",138,33,202,538,-15,4.18,16.3,6.12,"More than 15 minutes/game","Less than 5 points/game"
"HAYNES M",0,"Artland Dragons","2012/13",381,32,317,925,-48,11.91,28.91,9.91,"More than 15 minutes/game","More than 5 points/game"
"HOFFMANN C",1,"Artland Dragons","2012/13",12,12,3,38,-21,1,3.17,0.25,"Less than 15 minutes/game","Less than 5 points/game"
"HORNER D",0,"Artland Dragons","2012/13",21,3,30,77,7,7,25.67,10,"More than 15 minutes/game","More than 5 points/game"
