"club_season_id","club_lag","table_position_lag","table_position","club","season","stayed_ratio","players_stayed","stayed_ratio_morethan5ppg","players_stayed_morethan5ppg","stayed_ratio_morethan15mpg","players_stayed_morethan15mpg"
"2012/13_ALBA BERLIN","ALBA BERLIN",6,5,"ALBA BERLIN","2012/13",37.5,"Fülle, Idbihi, Ney, Schaffartzik, Schultze, Wood",27.27,"Idbihi, Schaffartzik, Wood",27.27,"Idbihi, Schaffartzik, Wood"
"2012/13_Artland Dragons","Artland Dragons",4,6,"Artland Dragons","2012/13",31.25,"Grünheid, Hoffmann, King Antho, Njei, Strasser",18.18,"King Antho, Strasser",27.27,"Grünheid, King Antho, Strasser"
"2012/13_Basketball Löwen Braunschweig","Basketball Löwen Braunschweig",7,13,"Basketball Löwen Braunschweig","2012/13",37.5,"Gertz, Kulawick, Mcelroy, Mittmann, Schneiders, Schröder",27.27,"Mcelroy, Schneiders, Schröder",36.36,"Gertz, Mcelroy, Mittmann, Schröder"
"2012/13_Brose Bamberg","Brose Bamberg",1,1,"Brose Bamberg","2012/13",37.5,"Gavel, Jacobsen, Neumann, Richter, Schmidt, Tadda",27.27,"Gavel, Jacobsen, Neumann",25,"Gavel, Jacobsen, Tadda"
"2012/13_Eisbären Bremerhaven","Eisbären Bremerhaven",11,11,"Eisbären Bremerhaven","2012/13",33.33,"Canty, El Domiaty, Everett, Malu, Raffington",11.11,"Everett",11.11,"Everett"
"2012/13_EWE Baskets Oldenburg","EWE Baskets Oldenburg",10,2,"EWE Baskets Oldenburg","2012/13",53.85,"Bahiense De Mello, Burrell, Chubb, Freese, Paulding, Smeulders, Smit",50,"Burrell, Chubb, Paulding, Smeulders",50,"Burrell, Chubb, Paulding, Smeulders"
"2012/13_FC Bayern München","FC Bayern München",5,4,"FC Bayern München","2012/13",57.14,"Benzing, Greene, Hamann, Homan, Jagla, Nadjfeji, Radosavljevic, Troutman",55.56,"Benzing, Hamann, Homan, Jagla, Troutman",55.56,"Benzing, Hamann, Homan, Jagla, Troutman"
"2012/13_FRAPORT SKYLINERS","FRAPORT SKYLINERS",9,14,"FRAPORT SKYLINERS","2012/13",25,"Barthel, Gibson Dev, Nolte, Robertson",20,"Gibson Dev, Robertson",27.27,"Barthel, Gibson Dev, Robertson"
"2012/13_GIESSEN 46ers","GIESSEN 46ers",17,18,"GIESSEN 46ers","2012/13",22.22,"Ovcina, Turudic, Weiser, Zazai",20,"Ovcina, Zazai",20,"Ovcina, Zazai"
"2012/13_medi bayreuth","medi bayreuth",13,15,"medi bayreuth","2012/13",46.15,"Hamilton, Schmidt, Schmitz, Spöler, Wyrick, Zeis",37.5,"Hamilton, Schmitz, Wyrick",33.33,"Hamilton, Schmitz, Wyrick"
"2012/13_MHP RIESEN Ludwigsburg","MHP RIESEN Ludwigsburg",16,17,"MHP RIESEN Ludwigsburg","2012/13",16.67,"Bekteshi, Hadzovic, Koch",0,"Niemand",0,"Niemand"
"2012/13_Phoenix Hagen","Phoenix Hagen",15,8,"Phoenix Hagen","2012/13",25,"Kramer, Kruel, White",14.29,"White",14.29,"White"
"2012/13_ratiopharm ulm","ratiopharm ulm",2,3,"ratiopharm ulm","2012/13",46.67,"Betz, Bryant, Esterkamp, Günther, Heberlein, Nankivil, Watts",45.45,"Bryant, Esterkamp, Günther, Nankivil, Watts",55.56,"Bryant, Esterkamp, Günther, Nankivil, Watts"
"2012/13_s.Oliver Baskets","s.Oliver Baskets",6,9,"s.Oliver Baskets","2012/13",40,"Boone, Clay, Henneberger, Jacobson, King, Little",36.36,"Boone, Jacobson, King, Little",36.36,"Boone, Jacobson, King, Little"
"2012/13_TBB Trier","TBB Trier",14,12,"TBB Trier","2012/13",33.33,"Dojcin, Linhart, Saibou, Seiferth",28.57,"Linhart, Seiferth",25,"Linhart, Seiferth"
"2012/13_Telekom Baskets Bonn","Telekom Baskets Bonn",8,7,"Telekom Baskets Bonn","2012/13",46.67,"Ensminger, Jordan, Koch, Mangold, Thülig, Veikalas, Wohlfarth-Bottermann",44.44,"Ensminger, Jordan, Veikalas, Wohlfarth-Bottermann",44.44,"Ensminger, Jordan, Mangold, Veikalas"
"2012/13_WALTER Tigers Tübingen","WALTER Tigers Tübingen",12,10,"WALTER Tigers Tübingen","2012/13",50,"Albus, Duggins, Nash, Redding, Spoden, Young",57.14,"Duggins, Nash, Redding, Young",57.14,"Duggins, Nash, Redding, Young"
