"club","stayed_ratio_all","stayed_ratio_morethan5ppg_all","stayed_ratio_morethan15mpg_all"
"ALBA BERLIN",35.578,25.066,27.676
"Artland Dragons",39.72,30.8233333333333,36.59
"Basketball Löwen Braunschweig",34.92,22.24,25.644
"Brose Bamberg",43.932,37.402,38.668
"Eisbären Bremerhaven",24.386,20.238,18.61
"EWE Baskets Oldenburg",58.5,61.508,63.572
"FC Bayern München",43.15,42.748,42.93
"FRAPORT SKYLINERS",51.14,46.424,46.99
"GIESSEN 46ers",18.8,17.145,17.145
"medi bayreuth",38.734,26.666,30.554
"MHP RIESEN Ludwigsburg",25.162,21.016,24.572
"Phoenix Hagen",33.462,32.62,35.478
"ratiopharm ulm",38.472,40.424,41.112
"s.Oliver Baskets",38.3333333333333,40.2966666666667,40.8366666666667
"TBB Trier",42.9766666666667,42.8566666666667,45.8333333333333
"Telekom Baskets Bonn",42.192,35.236,38.61
"WALTER Tigers Tübingen",40.602,35.872,33.482
"Mitteldeutscher BC",22.2233333333333,22.0233333333333,22.62
"BG Göttingen",42.31,37.5,37.5
"Crailsheim Merlins",6.67,0,0
