pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
2,"BROWN B. (PG)
EWE Baskets Oldenburg",34,1150:31:00,576,122,240,50.80%,65,202,32.20%,187,442,42.30%,137,174,78.70%,66,9,75,160,25,96,2,77,450,-6,2
4,"TUCKER A. (SF)
Brose Baskets",34,949:11:00,530,157,253,62.10%,31,73,42.50%,188,326,57.70%,123,155,79.40%,188,51,239,51,43,60,11,55,644,427,6
6,"WOOD D. (PG)
ALBA BERLIN",34,1066:53:00,525,107,218,49.10%,59,157,37.60%,166,375,44.30%,134,162,82.70%,108,23,131,165,39,74,3,45,552,225,0
7,"SWANN I. (SG)
ratiopharm ulm",34,932:01:00,517,72,142,50.70%,86,236,36.40%,158,378,41.80%,115,137,83.90%,80,14,94,96,25,84,1,83,407,176,0
5,"HOLSTON D. (PG)
Artland Dragons",33,1039:07:00,511,85,175,48.60%,67,185,36.20%,152,360,42.20%,140,160,87.50%,94,12,106,196,45,90,0,82,540,215,2
9,"ENSMINGER C. (C)
Telekom Baskets Bonn",34,969:06:00,504,185,323,57.30%,0,0,0.00%,185,323,57.30%,134,178,75.30%,172,85,257,49,14,57,8,99,593,183,9
8,"JONUSAS Z. (SF)
Phoenix Hagen",33,1025:49:00,489,89,162,54.90%,74,186,39.80%,163,348,46.80%,89,125,71.20%,122,32,154,55,24,55,5,108,451,-158,1
13,"BRYANT J. (C)
ratiopharm ulm",33,866:24:00,477,187,321,58.30%,3,7,42.90%,190,328,57.90%,94,123,76.40%,244,65,309,47,15,53,40,91,668,229,11
11,"PEAVY N. (PF)
Artland Dragons",32,882:34:00,468,112,192,58.30%,38,84,45.20%,150,276,54.40%,130,173,75.10%,159,43,202,56,15,67,14,82,519,236,3
12,"CARTER M. (SF)
Phoenix Hagen",32,1032:00:00,464,121,246,49.20%,39,137,28.50%,160,383,41.80%,105,123,85.40%,106,32,138,80,40,69,11,93,423,-221,0
