pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
3,"MORGAN R. (PF)
BG Göttingen",33,739:58:00,533,193,323,59.80%,3,16,18.80%,196,339,57.80%,138,189,73.00%,115,82,197,24,24,56,15,106,543,-24,4
2,"BELL D. (PG)
Phoenix Hagen",28,914:18:00,495,74,159,46.50%,73,184,39.70%,147,343,42.90%,128,148,86.50%,92,12,104,105,47,80,2,90,457,-125,0
10,"ABROMAITIS T. (SF)
Basketball Löwen Braunschweig",34,1021:41:00,489,124,220,56.40%,51,152,33.60%,175,372,47.00%,88,104,84.60%,161,44,205,66,50,49,10,93,558,31,1
12,"RUBIT A. (PF)
WALTER Tigers Tübingen",34,985:12:00,482,164,285,57.50%,12,39,30.80%,176,324,54.30%,118,154,76.60%,163,88,251,42,21,54,21,91,579,-21,4
17,"EHAMBE M. (SF)
Eisbären Bremerhaven",34,1017:31:00,466,72,185,38.90%,92,209,44.00%,164,394,41.60%,46,55,83.60%,102,20,122,42,19,56,4,78,358,-147,0
9,"EL-AMIN K. (PG)
BG Göttingen",32,955:24:00,463,114,213,53.50%,51,158,32.30%,165,371,44.50%,82,91,90.10%,58,16,74,152,38,77,0,88,435,56,1
19,"BOWMAN B. (PF)
medi bayreuth",34,1017:12:00,462,125,226,55.30%,38,124,30.70%,163,350,46.60%,98,136,72.10%,134,44,178,58,38,54,17,68,474,-163,2
11,"JOHNSON K. (PG)
MHP RIESEN Ludwigsburg",32,1033:29:00,460,120,235,51.10%,30,95,31.60%,150,330,45.50%,130,164,79.30%,70,15,85,124,32,68,2,97,421,115,0
20,"BRYANT J. (C)
FC Bayern München",33,707:34:00,446,158,254,62.20%,22,56,39.30%,180,310,58.10%,64,97,66.00%,197,64,261,34,9,51,31,63,567,242,9
22,"SIM G. (PG)
Crailsheim Merlins",33,995:48:00,436,71,169,42.00%,73,177,41.20%,144,346,41.60%,75,91,82.40%,78,15,93,154,21,79,2,87,409,-220,0
25,"RICHARD P. (SG)
Mitteldeutscher BC",33,1003:12:00,431,60,136,44.10%,79,197,40.10%,139,333,41.70%,74,96,77.10%,88,34,122,92,29,53,5,61,410,-35,0
16,"THOMPSON R. (SF)
Brose Baskets",31,866:39:00,428,97,172,56.40%,53,117,45.30%,150,289,51.90%,75,94,79.80%,62,18,80,75,32,45,5,42,417,373,0
33,"CHUBB A. (C)
EWE Baskets Oldenburg",34,838:29:00,428,171,291,58.80%,0,0,0.00%,171,291,58.80%,86,106,81.10%,106,62,168,32,5,48,10,102,455,50,1
27,"WANAMAKER B. (PG)
Brose Baskets",33,955:46:00,427,121,232,52.20%,27,69,39.10%,148,301,49.20%,104,123,84.60%,112,9,121,152,49,79,9,92,507,345,0
28,"CLYBURN W. (SF)
ratiopharm ulm",33,1004:12:00,426,132,244,54.10%,22,78,28.20%,154,322,47.80%,96,131,73.30%,179,75,254,62,41,66,11,68,525,-1,7
35,"VOIGTMANN J. (C)
FRAPORT SKYLINERS",34,897:16:00,424,159,261,60.90%,13,35,37.10%,172,296,58.10%,67,85,78.80%,139,66,205,85,21,70,30,71,553,38,3
14,"GORDON L. (SF)
Phoenix Hagen",30,951:15:00,421,115,216,53.20%,43,124,34.70%,158,340,46.50%,62,86,72.10%,130,56,186,51,42,68,9,75,435,-50,4
23,"ARMAND S. (SG)
FRAPORT SKYLINERS",32,843:55:00,420,68,160,42.50%,72,197,36.60%,140,357,39.20%,68,94,72.30%,78,18,96,76,26,71,5,74,309,119,0
36,"CALOIARO A. (PF)
Telekom Baskets Bonn",34,902:48:00,420,100,166,60.20%,38,101,37.60%,138,267,51.70%,106,143,74.10%,117,35,152,52,44,41,3,72,464,111,0
26,"OHLBRECHT T. (C)
ratiopharm ulm",32,699:47:00,417,132,202,65.30%,16,36,44.40%,148,238,62.20%,105,123,85.40%,116,61,177,23,10,45,40,98,514,145,4
1,"KENNEDY D. (SF)
MHP RIESEN Ludwigsburg",23,801:14:00,414,99,195,50.80%,26,71,36.60%,125,266,47.00%,138,178,77.50%,119,21,140,68,35,60,5,51,421,91,1
5,"RUOFF A. (SF)
BG Göttingen",28,878:09:00,414,97,199,48.70%,49,133,36.80%,146,332,44.00%,73,88,83.00%,91,23,114,142,18,75,5,77,417,-52,2
7,"MOSLEY S. (SG)
Crailsheim Merlins",28,864:40:00,411,115,249,46.20%,25,105,23.80%,140,354,39.60%,106,126,84.10%,84,30,114,76,46,58,8,78,363,-161,1
30,"KLIMAVICIUS T. (C)
Telekom Baskets Bonn",32,800:06:00,409,155,242,64.00%,3,10,30.00%,158,252,62.70%,90,123,73.20%,120,78,198,45,13,53,32,80,517,90,3
41,"THOMAS B. (SF)
Artland Dragons",34,941:53:00,408,88,138,63.80%,59,149,39.60%,147,287,51.20%,55,72,76.40%,81,23,104,76,28,49,10,53,420,-55,0
