pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
1,"MORGAN R. (PF)
ratiopharm ulm",32,811:32:00,580,194,343,56.60%,15,35,42.90%,209,378,55.30%,147,186,79.00%,148,74,222,66,23,46,5,86,642,302,5
6,"BABB C. (SG)
ratiopharm ulm",33,984:43:00,514,72,129,55.80%,100,233,42.90%,172,362,47.50%,70,81,86.40%,104,10,114,79,31,36,13,66,514,324,0
4,"PAULDING R. (SF)
EWE Baskets Oldenburg",32,1008:31:00,511,104,197,52.80%,71,168,42.30%,175,365,48.00%,90,107,84.10%,54,36,90,67,25,60,5,69,431,99,0
7,"ODUM J. (PG)
s.Oliver Würzburg",33,1041:34:00,505,102,194,52.60%,51,130,39.20%,153,324,47.20%,148,170,87.10%,95,20,115,189,39,76,5,90,584,-71,2
5,"MAYO J. (PG)
Telekom Baskets Bonn",32,1030:14:00,502,78,142,54.90%,87,213,40.90%,165,355,46.50%,85,92,92.40%,80,10,90,160,31,72,1,55,515,97,1
3,"KIKANOVIC E. (C)
ALBA BERLIN",31,805:14:00,499,194,335,57.90%,0,6,0.00%,194,341,56.90%,111,143,77.60%,91,55,146,47,18,54,12,71,489,75,0
10,"GAINES F. (SG)
RASTA Vechta",32,919:06:00,480,105,207,50.70%,60,167,35.90%,165,374,44.10%,90,133,67.70%,71,10,81,76,39,76,16,97,364,-160,0
12,"PIERRE D. (SF)
Basketball Löwen Braunschweig",32,1050:33:00,478,135,237,57.00%,33,106,31.10%,168,343,49.00%,109,135,80.70%,194,59,253,90,33,74,6,48,585,-235,8
13,"LEWIS T. (PG)
medi bayreuth",32,921:58:00,475,62,143,43.40%,81,183,44.30%,143,326,43.90%,108,116,93.10%,68,20,88,69,12,60,0,58,393,174,0
14,"WELLS C. (PG)
GIESSEN 46ers",33,990:58:00,463,130,243,53.50%,45,115,39.10%,175,358,48.90%,68,86,79.10%,77,16,93,135,41,56,10,47,485,-2,1
8,"QVALE B. (C)
EWE Baskets Oldenburg",30,763:09:00,452,190,311,61.10%,3,8,37.50%,193,319,60.50%,63,80,78.80%,124,64,188,33,30,63,29,71,526,167,5
18,"DIGGS Q. (SG)
Eisbären Bremerhaven",33,927:48:00,438,115,214,53.70%,32,84,38.10%,147,298,49.30%,112,166,67.50%,120,39,159,119,54,89,3,74,479,-144,1
21,"GAMBLE J. (C)
Telekom Baskets Bonn",33,798:42:00,427,172,273,63.00%,0,3,0.00%,172,276,62.30%,83,145,57.20%,131,71,202,57,32,83,44,104,513,50,5
16,"THOMPSON R. (SF)
Telekom Baskets Bonn",31,808:13:00,425,119,189,63.00%,27,65,41.50%,146,254,57.50%,106,127,83.50%,52,13,65,94,20,61,5,47,419,35,0
15,"MEDLOCK C. (PG)
Basketball Löwen Braunschweig",30,888:25:00,415,64,137,46.70%,67,161,41.60%,131,298,44.00%,86,102,84.30%,42,4,46,126,43,97,1,89,351,-223,0
19,"HULLS J. (PG)
Eisbären Bremerhaven",31,941:24:00,410,59,116,50.90%,80,156,51.30%,139,272,51.10%,52,55,94.60%,69,15,84,127,38,69,0,62,454,-58,0
24,"COOLEY J. (C)
MHP RIESEN Ludwigsburg",32,614:41:00,408,150,258,58.10%,2,7,28.60%,152,265,57.40%,102,145,70.30%,119,109,228,11,26,40,16,87,493,72,10
25,"ULMER L. (SF)
s.Oliver Würzburg",32,888:52:00,407,89,170,52.40%,52,135,38.50%,141,305,46.20%,73,97,75.30%,90,50,140,52,31,48,18,58,412,-86,2
11,"JENKINS J. (SG)
Science City Jena",27,760:40:00,404,67,121,55.40%,73,179,40.80%,140,300,46.70%,51,73,69.90%,39,7,46,85,30,44,1,65,340,-98,0
30,"EATHERTON S. (PF)
BG Göttingen",33,826:33:00,394,143,243,58.80%,5,14,35.70%,148,257,57.60%,93,121,76.90%,129,106,235,49,21,80,17,89,499,-113,7
28,"ANDERSON K. (PG)
medi bayreuth",32,835:37:00,392,79,171,46.20%,45,131,34.40%,124,302,41.10%,99,110,90.00%,50,8,58,119,50,61,0,54,369,95,0
29,"BROOKS D. (PF)
medi bayreuth",32,756:52:00,388,109,183,59.60%,23,72,31.90%,132,255,51.80%,101,116,87.10%,87,25,112,20,22,50,13,103,367,19,0
26,"MILOSAVLJEVIC D. (SG)
ALBA BERLIN",30,866:57:00,380,82,151,54.30%,44,105,41.90%,126,256,49.20%,84,98,85.70%,63,30,93,118,25,79,5,67,398,26,0
9,"RUOFF A. (SF)
BG Göttingen",25,763:24:00,375,114,195,58.50%,28,101,27.70%,142,296,48.00%,63,76,82.90%,97,23,120,120,43,81,10,67,420,-12,3
17,"STEWART B. (SG)
WALTER Tigers Tübingen",28,797:17:00,373,71,159,44.70%,62,156,39.70%,133,315,42.20%,45,55,81.80%,53,14,67,91,44,46,4,74,341,-77,0
36,"MAREI A. (PF)
medi bayreuth",32,730:33:00,370,148,273,54.20%,1,4,25.00%,149,277,53.80%,71,113,62.80%,137,89,226,45,38,49,27,89,487,189,4
34,"ANDERSON K. (SG)
Eisbären Bremerhaven",31,831:06:00,359,74,144,51.40%,57,151,37.80%,131,295,44.40%,40,47,85.10%,73,24,97,61,22,59,3,79,312,-49,0
32,"EVANS D. (PF)
GIESSEN 46ers",30,723:32:00,354,98,186,52.70%,16,44,36.40%,114,230,49.60%,110,137,80.30%,146,67,213,32,15,60,9,79,420,73,6
52,"LANE B. (C)
s.Oliver Würzburg",33,749:13:00,353,126,213,59.20%,15,48,31.30%,141,261,54.00%,56,75,74.70%,106,42,148,50,12,49,34,95,409,-71,1
38,"SEARS J. (PF)
GIESSEN 46ers",31,747:16:00,351,145,264,54.90%,2,6,33.30%,147,270,54.40%,55,85,64.70%,82,85,167,45,27,51,20,91,406,11,3
46,"GROSELLE G. (C)
Basketball Löwen Braunschweig",32,735:08:00,349,139,217,64.10%,0,0,0.00%,139,217,64.10%,71,118,60.20%,124,72,196,25,16,58,37,92,440,-157,1
49,"ROBERTSON Q. (SG)
FRAPORT SKYLINERS",32,1120:55:00,348,66,136,48.50%,48,157,30.60%,114,293,38.90%,72,87,82.80%,154,42,196,99,82,74,8,109,465,-38,4
51,"ELLIOTT I. (PF)
Eisbären Bremerhaven",32,840:20:00,343,81,134,60.40%,43,130,33.10%,124,264,47.00%,52,73,71.20%,127,54,181,62,30,42,25,85,438,-57,3
54,"MCELROY I. (SF)
Science City Jena",32,921:00:00,341,87,181,48.10%,32,72,44.40%,119,253,47.00%,71,89,79.80%,113,40,153,95,26,43,1,48,421,-144,1
56,"LINHART N. (SF)
medi bayreuth",32,993:49:00,334,69,138,50.00%,51,124,41.10%,120,262,45.80%,43,49,87.80%,118,32,150,104,44,51,6,71,439,88,0
55,"KRAMER C. (SG)
EWE Baskets Oldenburg",31,1092:50:00,327,89,168,53.00%,25,96,26.00%,114,264,43.20%,74,100,74.00%,155,22,177,208,70,75,14,71,545,89,3
62,"PHILMORE I. (PF)
WALTER Tigers Tübingen",33,665:05:00,327,90,170,52.90%,20,48,41.70%,110,218,50.50%,87,109,79.80%,83,43,126,27,17,59,7,103,315,-135,2
64,"BOOKER D. (C)
FC Bayern München",33,657:00:00,325,116,194,59.80%,3,12,25.00%,119,206,57.80%,84,110,76.40%,106,56,162,66,24,60,5,85,409,242,1
50,"KAMP H. (PF)
Eisbären Bremerhaven",30,630:48:00,323,97,177,54.80%,12,37,32.40%,109,214,50.90%,93,110,84.60%,71,33,104,55,15,62,7,110,320,-3,0
59,"CARTER D. (SF)
BG Göttingen",32,649:17:00,322,121,224,54.00%,8,21,38.10%,129,245,52.70%,56,92,60.90%,82,71,153,19,13,35,16,64,336,-66,1
48,"HORTON K. (SF)
Telekom Baskets Bonn",29,772:12:00,316,62,109,56.90%,49,140,35.00%,111,249,44.60%,45,50,90.00%,138,26,164,50,39,46,22,57,402,52,2
39,"VEIKALAS B. (SG)
BG Göttingen",28,704:45:00,315,47,106,44.30%,55,166,33.10%,102,272,37.50%,56,69,81.20%,71,20,91,63,23,52,2,60,259,-27,0
65,"TAYLOR B. (SG)
FC Bayern München",32,648:49:00,315,61,107,57.00%,52,99,52.50%,113,206,54.90%,37,40,92.50%,55,10,65,49,34,19,9,53,357,275,0
68,"DJEDOVIC N. (SG)
FC Bayern München",32,519:22:00,311,68,111,61.30%,33,71,46.50%,101,182,55.50%,76,93,81.70%,64,9,73,47,30,39,1,45,325,265,0
60,"SEARCY D. (C)
RASTA Vechta",31,819:28:00,309,130,214,60.70%,0,0,0.00%,130,214,60.80%,49,66,74.20%,142,65,207,23,19,40,10,67,427,-139,4
69,"SANDERS J. (PG)
BG Göttingen",32,846:08:00,309,68,150,45.30%,31,75,41.30%,99,225,44.00%,80,95,84.20%,79,38,117,166,38,81,3,72,411,-36,0
79,"WALESKOWSKI A. (PF)
BG Göttingen",33,653:14:00,305,112,209,53.60%,15,64,23.40%,127,273,46.50%,36,45,80.00%,85,33,118,43,21,41,23,112,314,21,0
35,"RUBIT A. (PF)
ratiopharm ulm",26,550:55:00,301,96,172,55.80%,9,22,40.90%,105,194,54.10%,82,109,75.20%,93,53,146,20,13,28,16,53,352,206,2
75,"REDDING R. (SF)
FC Bayern München",32,739:36:00,300,89,149,59.70%,29,81,35.80%,118,230,51.30%,35,45,77.80%,71,17,88,122,52,47,7,54,400,296,1
83,"MCGHEE G. (C)
WALTER Tigers Tübingen",33,848:45:00,300,113,190,59.50%,0,0,0.00%,113,190,59.50%,74,127,58.30%,126,85,211,33,23,60,27,92,404,-143,1
2,"ENGLISH A. (SG)
FRAPORT SKYLINERS",17,515:10:00,299,51,107,47.70%,48,115,41.70%,99,222,44.60%,53,65,81.50%,39,11,50,70,9,39,3,45,257,29,0
71,"THEIS D. (PF)
Brose Bamberg",31,581:14:00,298,92,153,60.10%,12,40,30.00%,104,193,53.90%,78,91,85.70%,121,44,165,22,21,41,38,79,401,242,2
73,"JORDAN J. (PG)
WALTER Tigers Tübingen",31,950:50:00,294,70,127,55.10%,40,130,30.80%,110,257,42.80%,34,40,85.00%,93,33,126,243,42,83,2,68,471,-27,2
81,"LUCIC V. (SF)
FC Bayern München",32,685:47:00,292,74,111,66.70%,24,56,42.90%,98,167,58.70%,72,89,80.90%,92,22,114,54,16,41,7,67,356,315,0
91,"BOWLIN S. (PG)
GIESSEN 46ers",33,857:13:00,291,33,81,40.70%,53,146,36.30%,86,227,37.90%,66,85,77.70%,55,10,65,134,50,60,0,72,320,27,1
57,"BUTLER D. (PF)
ratiopharm ulm",28,723:58:00,290,51,95,53.70%,43,121,35.50%,94,216,43.50%,59,74,79.70%,101,32,133,48,17,27,4,57,328,292,1
92,"EHAMBE M. (SF)
RASTA Vechta",33,769:26:00,289,41,93,44.10%,63,164,38.40%,104,257,40.50%,18,21,85.70%,59,15,74,22,24,22,7,70,238,-174,0
