club,season,club_lag,table_position_lag,table_position
ALBA BERLIN,2011/12,NA,NA,6
Artland Dragons,2011/12,NA,NA,4
Basketball Löwen Braunschweig,2011/12,NA,NA,7
Brose Bamberg,2011/12,NA,NA,1
Eisbären Bremerhaven,2011/12,NA,NA,11
EWE Baskets Oldenburg,2011/12,NA,NA,10
FC Bayern München,2011/12,NA,NA,5
FRAPORT SKYLINERS,2011/12,NA,NA,9
GIESSEN 46ers,2011/12,NA,NA,17
medi bayreuth,2011/12,NA,NA,13
MHP RIESEN Ludwigsburg,2011/12,NA,NA,16
Phoenix Hagen,2011/12,NA,NA,15
ratiopharm ulm,2011/12,NA,NA,2
s.Oliver Baskets,2011/12,NA,NA,6
TBB Trier,2011/12,NA,NA,14
Telekom Baskets Bonn,2011/12,NA,NA,8
WALTER Tigers Tübingen,2011/12,NA,NA,12
ALBA BERLIN,2012/13,ALBA BERLIN,6,5
Artland Dragons,2012/13,Artland Dragons,4,6
Basketball Löwen Braunschweig,2012/13,Basketball Löwen Braunschweig,7,13
Brose Bamberg,2012/13,Brose Bamberg,1,1
Eisbären Bremerhaven,2012/13,Eisbären Bremerhaven,11,11
EWE Baskets Oldenburg,2012/13,EWE Baskets Oldenburg,10,2
FC Bayern München,2012/13,FC Bayern München,5,4
FRAPORT SKYLINERS,2012/13,FRAPORT SKYLINERS,9,14
GIESSEN 46ers,2012/13,GIESSEN 46ers,17,18
medi bayreuth,2012/13,medi bayreuth,13,15
MHP RIESEN Ludwigsburg,2012/13,MHP RIESEN Ludwigsburg,16,17
Phoenix Hagen,2012/13,Phoenix Hagen,15,8
ratiopharm ulm,2012/13,ratiopharm ulm,2,3
s.Oliver Baskets,2012/13,s.Oliver Baskets,6,9
TBB Trier,2012/13,TBB Trier,14,12
Telekom Baskets Bonn,2012/13,Telekom Baskets Bonn,8,7
WALTER Tigers Tübingen,2012/13,WALTER Tigers Tübingen,12,10
ALBA BERLIN,2013/14,ALBA BERLIN,5,3
Artland Dragons,2013/14,Artland Dragons,6,7
Basketball Löwen Braunschweig,2013/14,Basketball Löwen Braunschweig,13,15
Brose Bamberg,2013/14,Brose Bamberg,1,2
Eisbären Bremerhaven,2013/14,Eisbären Bremerhaven,11,12
EWE Baskets Oldenburg,2013/14,EWE Baskets Oldenburg,2,4
FC Bayern München,2013/14,FC Bayern München,4,1
FRAPORT SKYLINERS,2013/14,FRAPORT SKYLINERS,14,11
medi bayreuth,2013/14,medi bayreuth,15,14
MHP RIESEN Ludwigsburg,2013/14,MHP RIESEN Ludwigsburg,17,8
Mitteldeutscher BC,2013/14,NA,NA,9
Phoenix Hagen,2013/14,Phoenix Hagen,8,10
ratiopharm ulm,2013/14,ratiopharm ulm,3,6
s.Oliver Baskets,2013/14,s.Oliver Baskets,9,17
TBB Trier,2013/14,TBB Trier,12,13
Telekom Baskets Bonn,2013/14,Telekom Baskets Bonn,7,5
WALTER Tigers Tübingen,2013/14,WALTER Tigers Tübingen,10,16
ALBA BERLIN,2014/15,ALBA BERLIN,3,2
Artland Dragons,2014/15,Artland Dragons,7,11
Basketball Löwen Braunschweig,2014/15,Basketball Löwen Braunschweig,15,9
Brose Bamberg,2014/15,Brose Bamberg,2,1
Eisbären Bremerhaven,2014/15,Eisbären Bremerhaven,12,15
